序号,原始英文名称,原始简称,规范英文名称,标准中文名称,中文名称参考链接,是否真实存在,官方网站,官网参考链接,UIA公开档案链接,成立年份,总部城市,总部国家或地区,组织类型,所属层级,是否建议前台展示,项目角色建议,UIA_Type_I,UIA_Type_II,UIA_Org_ID,核验状态,备注,公开宗旨摘要
1,Asia-Pacific Artificial Intelligence Association,AAIA,Asia-Pacific Artificial Intelligence Association,,,是,https://www.aaia-ai.org/,https://uia.org/s/or/en/1122288893,https://uia.org/s/or/en/1122288893,,Kowloon,Hong Kong,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,,AA4720,已核验,未检索到稳定中文名称,Build a broad AI industry to promote the development and application of AI in different fields of science and technology.
2,BNVKI-AIABN: Benelux Association for Artificial Intelligence,BNVKI-AIABN,BNVKI-AIABN: Benelux Association for Artificial Intelligence,,,是,http://bnvki.org/,https://uia.org/s/or/en/1122278316,https://uia.org/s/or/en/1122278316,1981,Eindhoven,Netherlands,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,,XJ9451,已核验,未检索到稳定中文名称,"Stimulate research on, and the application and education of Artificial Intelligence (AI), as well as dissemination of knowledge about AI."
3,Confederation of Laboratories for Artificial Intelligence Research in Europe,CAIRNE,Confederation of Laboratories for Artificial Intelligence Research in Europe,,,是,https://cairne.eu/,https://uia.org/s/or/en/1122284232,https://uia.org/s/or/en/1122284232,2018,The Hague,Netherlands,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,,AA0064,已核验,未检索到稳定中文名称,"Establish a pan-European network of Centres of Excellence in AI, strategically located throughout Europe, and a new, central facility with state-of-the-art, ""Google-scale"", CERN-like infrastructure – the CLAIRE Hub – that will promote new and existing talent and provide a focal point for exchange and interaction of researchers at all stages of their careers, across all areas of AI."
4,European Association for Artificial Intelligence,EurAI,European Association for Artificial Intelligence,,,是,https://eurai.org/,https://uia.org/s/or/en/1100036340,https://uia.org/s/or/en/1100036340,1982,,Paris France,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,,XD9186,已核验,未检索到稳定中文名称,"Promote research, education and applications of artificial intelligence in Europe."
5,European Society for Artificial Intelligence in Medicine,AIME,European Society for Artificial Intelligence in Medicine,,,是,http://aimedicine.info/,https://uia.org/s/or/en/1100054409,https://uia.org/s/or/en/1100054409,1986,Verona,Italy,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,,XD7867,已核验,未检索到稳定中文名称,Foster research in the application of artificial intelligence techniques to medical care and medical research; provide a forum for reporting significant results achieved at biennial conferences.
6,International Artificial Intelligence in Education Society,International AIED Society,International Artificial Intelligence in Education Society,,,是,http://iaied.org/,https://uia.org/s/or/en/1100000746,https://uia.org/s/or/en/1100000746,1997,Edinburgh,UK,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,v,XD6616,已核验,未检索到稳定中文名称,Advance knowledge and promote research and development in the field of artificial intelligence in education.
7,International Association for Artificial Intelligence and Law,IAAIL,International Association for Artificial Intelligence and Law,,,是,http://www.iaail.org/,https://uia.org/s/or/en/1100067522,https://uia.org/s/or/en/1100067522,1982,Florence,Italy,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,D,v,XD6625,已核验,未检索到稳定中文名称,"Support, develop and promote artificial intelligence and law at the international level."
8,Association for Uncertainty in Artificial Intelligence,AUAI,Association for Uncertainty in Artificial Intelligence,,,是,http://www.auai.org/,https://uia.org/s/or/en/1122270088,https://uia.org/s/or/en/1122270088,,Stanford CA,USA,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,E,c,XW0036,已核验,未检索到稳定中文名称,"Promote research in pursuit of advances in knowledge representation, learning and reasoning under uncertainty."
9,Iberoamerican Society of Artificial Intelligence,,Iberoamerican Society of Artificial Intelligence,,,是,http://www.iberamia.org/,https://uia.org/s/or/en/1100020289,https://uia.org/s/or/en/1100020289,1988,,Barcelona Spain,协会/学会/联盟,organization,是，可作为组织对象展示,组织库生态层,E,,XM2212,已核验,未检索到稳定中文名称,"Promote scientific and technological activities related to Artificial Intelligence in Ibero-American and Spanish and Portuguese-speaking countries; strengthen ties with scientific institutions as well as companies, institutions, public administrations and other international organizations; support teaching, research and technological transfer and innovation related to Artificial Intelligence; coordinate with Artificial Intelligence Associations of the Ibero-American countries, promoting activities and projects that help promote and disseminate Artificial Intelligence."
10,European Artificial Intelligence & Society Fund,European AI & Society Fund,European Artificial Intelligence & Society Fund,,,是,https://europeanaifund.org/,https://uia.org/s/or/en/1122286479,https://uia.org/s/or/en/1122286479,,Brussels,Belgium,倡议/伙伴关系/基金/委员会,organization,是，可作为组织对象展示,组织库核心候选,F,f,AA2311,已核验,未检索到稳定中文名称,Shape the direction of AI in Europe.
11,Global Partnership on Artificial Intelligence,GPAI,Global Partnership on Artificial Intelligence,,,是,https://gpai.ai/,https://uia.org/s/or/en/1122283899,https://uia.org/s/or/en/1122283899,2020,,,倡议/伙伴关系/基金/委员会,organization,是，可作为组织对象展示,组织库核心候选,F,g,XM8711,已核验,未检索到稳定中文名称,"Inform policy debates with a high-level, forward-looking, and long-term reflection from the scientific community and experts, in academia, research institutes and the industry."
